#pfamid seq_len neff distprob_norm distprob_raw estimated_tmscore probability_tmscore_gt_05
PF06856 119 30 -0.08513 -79.43 0.41697 0.27117
PF06868 103 261 -0.1239 -40.64 0.52582 0.58419
PF06871 203 745 -0.09226 -171.6 0.53535 0.62706
PF06873 421 45 -0.05437 -234.61 0.33527 0.06947
PF06878 162 30 -0.08829 -95.36 0.42515 0.29256
PF06880 104 69 -0.08442 -48.46 0.39245 0.21588
PF06884 174 122 -0.09498 -125.66 0.48787 0.48804
PF06889 215 234 -0.13462 -212.7 0.72629 0.94181
PF06891 130 298 -0.1138 -108.11 0.57988 0.73003
PF06892 157 828 -0.11695 -107.13 0.57205 0.72332
PF06894 126 56 -0.10978 -71.47 0.4956 0.50366
PF06896 114 74 -0.09875 -53.42 0.43342 0.31418
PF06899 446 576 -0.06614 -336.8 0.38291 0.16686
PF06910 132 30 -0.06666 -62.33 0.30548 0.121
PF06911 180 258 -0.10397 -154.19 0.57597 0.73098
PF06912 202 1556 -0.12196 -222.94 0.71461 0.93351
PF06916 143 257 -0.1019 -88.75 0.47919 0.45614
PF06923 107 268 -0.12531 -51.5 0.546 0.63873
PF06926 95 23 -0.07397 -28.7 0.31536 0.1315
PF06930 211 1145 -0.12448 -209.5 0.69989 0.92021
PF06932 83 15 -0.06811 -1.57 0.26414 0.08496
PF06934 683 157 -0.05503 -706.34 0.32956 0.06369
PF06935 103 451 -0.12503 -62.27 0.56673 0.69121
PF06937 291 11 -0.05162 -152.03 0.33448 0.09766
PF06939 124 29 -0.08303 -78.62 0.40805 0.24904
PF06942 107 797 -0.13975 -41.93 0.58922 0.7398
PF06946 93 455 -0.13198 -54.64 0.58934 0.73629
PF06947 86 75 -0.10032 -34.51 0.43127 0.30825
PF06949 75 950 -0.19134 -50.71 0.71463 0.89297
PF06950 115 12 -0.0885 -72.92 0.42231 0.28511
PF06952 237 43 -0.08499 -125.62 0.41209 0.25781
PF06959 203 11 -0.06126 -121.3 0.34941 0.14319
PF06967 83 62 -0.13862 -51.43 0.6073 0.7634
PF06979 132 191 -0.07745 -57.08 0.37173 0.17731
PF06980 611 1041 -0.06919 -683.35 0.39438 0.1739
PF06985 213 3423 -0.0671 -128.96 0.4243 0.26487
PF06986 270 201 -0.06679 -143.2 0.37348 0.15776
PF06993 109 360 -0.16095 -82.09 0.67133 0.88173
PF06995 120 1103 -0.12064 -112.68 0.62823 0.83226
PF07001 196 25 -0.05826 -69.21 0.27328 0.07972
PF07011 83 29 -0.21079 -52.28 0.80626 0.93053
PF07019 91 263 -0.13847 -50.27 0.60291 0.75993
PF07026 60 16 -0.08642 -12.1 0.37215 0.19355
PF07027 91 441 -0.11592 -39.41 0.49731 0.50072
PF07028 109 31 -0.04623 -0.09 0.23599 0.05225
PF07029 164 51 -0.07071 -123.04 0.39367 0.21598
PF07040 184 355 -0.10172 -165.71 0.58381 0.74768
PF07041 113 11 -0.06491 -49.46 0.28456 0.10415
PF07047 177 196 -0.13395 -97.25 0.60876 0.79813
PF07052 105 191 -0.06682 -6.35 0.2644 0.08215
PF07059 219 203 -0.09328 -190.58 0.55274 0.66795
PF07064 328 153 -0.08295 -219.31 0.44801 0.36155
PF07074 170 55 -0.09256 -113.11 0.45956 0.39697
PF07077 180 625 -0.121 -162.26 0.64813 0.8692
PF07083 210 239 -0.17227 -169.86 0.74899 0.9561
PF07086 186 104 -0.12208 -135.02 0.61345 0.81093
PF07093 587 233 -0.05925 -420.14 0.32231 0.04906
PF07096 116 142 -0.0824 -18.7 0.35545 0.1604
PF07098 103 277 -0.12444 -44.67 0.53438 0.60739
PF07099 165 419 -0.12473 -131.09 0.63322 0.84502
PF07103 249 886 -0.12277 -268.14 0.72495 0.93575
PF07104 117 45 -0.1287 -29.09 0.51236 0.5434
PF07114 180 105 -0.10071 -148.25 0.54593 0.65636
PF07116 106 20 -0.07534 -15.29 0.30453 0.11977
PF07119 62 146 -0.11732 -10.91 0.4703 0.41278
PF07120 87 340 -0.14285 -59.28 0.62624 0.80733
PF07128 137 78 -0.08725 -66.31 0.40541 0.23978
PF07131 60 25 -0.08507 -7.83 0.35831 0.17768
PF07133 187 48 -0.05463 -54.63 0.25609 0.06588
PF07134 325 40 -0.06156 -230.3 0.39681 0.21346
PF07136 243 346 -0.09776 -180.57 0.53688 0.63123
PF07138 334 13 -0.06953 -220.33 0.40664 0.24005
PF07146 332 34 -0.06641 -198.96 0.38424 0.18101
PF07148 134 156 -0.12103 -135.68 0.65029 0.86524
PF07154 150 13 -0.0662 -79.71 0.32217 0.13401
PF07157 88 350 -0.10659 -38.8 0.45712 0.38057
PF07162 161 346 -0.11791 -166.85 0.66236 0.88472
PF07165 211 129 -0.10955 -179.78 0.61439 0.81018
PF07175 160 12 -0.06278 -78.86 0.30081 0.11212
PF07176 127 352 -0.12144 -88.29 0.581 0.73052
PF07178 90 322 -0.08392 -29.79 0.38103 0.19281
PF07179 133 316 -0.10717 -105.56 0.53628 0.62456
PF07185 169 36 -0.07838 -104.95 0.40028 0.22776
PF07187 160 140 -0.13163 -151.37 0.67579 0.90194
PF07198 66 2 -0.08713 -20.3 0.38367 0.20809
PF07199 200 14 -0.06684 -127.32 0.37457 0.17446
PF07206 70 28 -0.09773 -21.6 0.4174 0.27404
PF07207 133 33 -0.05813 -41.45 0.25793 0.07449
PF07209 171 472 -0.12459 -149.26 0.64996 0.87147
PF07214 94 42 -0.13476 -28.7 0.55064 0.63576
PF07215 111 76 -0.08454 -59.6 0.40041 0.23132
PF07216 91 11 -0.09131 -34.15 0.40279 0.23791
PF07217 571 103 -0.05888 -499.57 0.34544 0.09198
PF07219 107 927 -0.19841 -39.88 0.70134 0.88171
PF07222 240 13 -0.05517 -119.28 0.31209 0.0988
PF07226 114 22 -0.1087 -66.31 0.49059 0.48556
PF07231 200 18 -0.06653 -102.32 0.35313 0.14686
PF07232 328 52 -0.06668 -211.7 0.39761 0.21554
PF07235 84 185 -0.10817 -13.2 0.432 0.308
PF07246 291 34 -0.06649 -155.71 0.37292 0.15702
PF07248 156 80 -0.06899 -70.85 0.32961 0.13753
PF07253 469 195 -0.0533 -266.5 0.32749 0.05473
PF07254 130 707 -0.10955 -64.74 0.48474 0.47224
PF07256 75 30 -0.09372 -21.18 0.40371 0.24185
PF07263 517 14 -0.04776 -248.32 0.30915 0.03094
PF07267 637 10 -0.05036 -435.13 0.30234 0.02393
PF07274 136 1350 -0.0981 -82.5 0.46869 0.42031
PF07277 220 803 -0.12279 -216.84 0.69815 0.91673
PF07283 129 117 -0.12097 -104.4 0.60573 0.78217
PF07284 139 20 -0.1247 -104.75 0.61383 0.79936
PF07285 264 1081 -0.11852 -221.99 0.64625 0.85617
PF07287 357 594 -0.1006 -420.1 0.67708 0.81925
PF07291 184 3291 -0.1301 -178.11 0.69715 0.92233
PF07294 196 18 -0.06062 -145.37 0.37276 0.17325
PF07296 198 14 -0.06389 -93.09 0.32797 0.12524
PF07297 76 347 -0.14367 -20.11 0.57796 0.69058
PF07301 145 436 -0.14406 -136.13 0.6911 0.91721
PF07305 189 18 -0.07723 -112.99 0.39487 0.21417
PF07310 137 1322 -0.13682 -120.95 0.66796 0.89552
PF07312 81 26 -0.02525 -4.04 0.22952 0.0441
PF07314 187 745 -0.10374 -120.85 0.5116 0.56499
PF07324 196 181 -0.09045 -106.55 0.42923 0.30338
PF07326 232 20 -0.06312 -139.18 0.36789 0.15668
PF07330 82 437 -0.23378 -53.54 0.83839 0.95088
PF07331 144 4618 -0.14582 -79.47 0.63848 0.86756
PF07332 117 1968 -0.19573 -80.05 0.73026 0.93663
PF07335 173 180 -0.08148 -137.78 0.44973 0.36567
PF07342 97 30 -0.18585 -53.15 0.7129 0.87786
PF07343 236 42 -0.07983 -166.85 0.45056 0.3727
PF07346 122 29 -0.07525 -64.71 0.37007 0.18159
PF07351 79 10 -0.08639 -34.21 0.39143 0.21877
PF07356 186 87 -0.06783 -113.48 0.3707 0.1704
PF07358 57 37 -0.09954 -21.3 0.42662 0.29751
PF07363 109 36 -0.10771 -28.76 0.43474 0.31719
PF07365 50 66 -0.01009 -1.04 0.22723 0.04103
PF07370 137 194 -0.10355 -102.1 0.50787 0.54383
PF07371 88 23 -0.07158 -8.16 0.27931 0.09927
PF07377 108 2298 -0.13138 -66.74 0.6018 0.78556
PF07382 221 28 -0.05653 -66.82 0.26633 0.0698
PF07383 57 68 -0.1278 -18.02 0.52486 0.55219
PF07403 121 17 -0.07016 -60.06 0.32954 0.14358
PF07405 127 11 -0.06253 -69.23 0.29006 0.10843
PF07406 183 184 -0.08277 -69.94 0.38245 0.18515
PF07410 114 25 -0.08758 -44.58 0.39537 0.21997
PF07413 278 15 -0.06166 -172.64 0.37737 0.16798
PF07423 93 119 -0.14901 -85.68 0.66069 0.86564
PF07424 172 60 -0.0708 -83.55 0.3569 0.15668
PF07426 167 249 -0.0339 -41.77 0.23343 0.04414
PF07431 356 79 -0.09971 -378.18 0.63154 0.74683
PF07441 75 485 -0.17232 -35.5 0.66986 0.83924
PF07444 76 70 -0.16888 -33.94 0.67012 0.82797
PF07450 130 39 -0.0887 -90.12 0.43542 0.32136
PF07452 111 1154 -0.13565 -125.34 0.68596 0.9114
PF07457 108 201 -0.18784 -96.36 0.73829 0.92687
PF07458 94 12 -0.05773 -29.44 0.25434 0.07422
PF07459 90 125 -0.11569 -48.94 0.51203 0.54185
PF07481 168 47 -0.08115 -97.38 0.40261 0.23268
PF07482 110 74 -0.07267 -49.49 0.33601 0.14935
PF07483 105 91 -0.10358 -42.98 0.44101 0.33525
PF07485 120 255 -0.15144 -129.02 0.71341 0.93048
PF07507 307 187 -0.08876 -295.58 0.55311 0.63355
PF07509 176 112 -0.09911 -117.35 0.48999 0.49483
PF07526 137 115 -0.07889 -55.54 0.37302 0.17918
PF07530 84 113 -0.13396 -49.43 0.59012 0.72939
PF07543 143 81 -0.05346 -26.67 0.24564 0.06073
PF07546 68 125 -0.15488 -26.95 0.62634 0.77062
PF07547 82 8 -0.07841 -22.74 0.33632 0.15263
PF07548 231 98 -0.06065 -154.24 0.37585 0.16999
PF07552 58 96 -0.11835 -0.12 0.45998 0.38212
PF07556 211 351 -0.09967 -205.93 0.61158 0.79716
PF07584 93 2461 -0.13749 -34.79 0.58059 0.73439
PF07586 308 745 -0.09358 -245.19 0.52605 0.58606
PF07587 262 2300 -0.09275 -179.75 0.50332 0.53568
PF07593 68 3366 -0.16426 -51.58 0.68469 0.90654
PF07613 177 196 -0.12541 -196.51 0.71521 0.93484
PF07614 254 76 -0.08556 -204.48 0.50028 0.52061
PF07626 65 604 -0.16356 -42.69 0.65882 0.83628
PF07631 128 1144 -0.14985 -78.97 0.65057 0.86853
PF07637 62 1609 -0.19043 -36.56 0.69687 0.88142
PF07643 84 74 -0.09873 -26.95 0.42026 0.27924
PF07655 101 441 -0.08161 -40.97 0.38257 0.19222
PF07659 61 182 -0.20005 -19.8 0.80043 0.90847
PF07663 93 10 -0.07611 -37.75 0.34239 0.15829
PF07668 327 44 -0.0626 -224.0 0.39417 0.20634
PF07681 83 7195 -0.17944 -54.01 0.73016 0.94841
PF07692 354 95 -0.07784 -291.99 0.45408 0.36847
PF07695 205 4173 -0.13769 -208.87 0.73394 0.95106
PF07712 379 132 -0.07264 -372.73 0.46237 0.37739
PF07713 85 61 -0.03245 -4.09 0.23145 0.04679
PF07734 170 2767 -0.09076 -119.17 0.48458 0.47339
PF07735 65 1372 -0.15534 -34.8 0.63477 0.8211
PF07751 183 1648 -0.12045 -126.59 0.59627 0.78864
PF07753 226 10 -0.0628 -142.61 0.37118 0.16338
PF07758 172 227 -0.10548 -177.11 0.6279 0.831
PF07761 143 210 -0.13335 -110.55 0.64419 0.85703
PF07762 167 528 -0.08188 -121.6 0.43481 0.31503
PF07763 241 44 -0.06605 -95.1 0.34139 0.12123
PF07765 74 118 -0.12113 -25.92 0.50286 0.50645
PF07768 116 55 -0.11647 -20.38 0.44772 0.35449
PF07773 314 198 -0.05616 -196.18 0.3669 0.14081
PF07774 231 235 -0.07392 -150.35 0.41318 0.25632
PF07777 96 39 -0.06524 -20.16 0.26689 0.08685
PF07779 483 212 -0.05077 -369.93 0.34169 0.08015
PF07782 191 228 -0.10123 -104.17 0.47222 0.44019
PF07784 77 334 -0.14486 -21.87 0.58449 0.70502
PF07785 92 21 -0.11121 -68.84 0.52746 0.58904
PF07786 222 5052 -0.12129 -235.41 0.6831 0.90362
PF07787 254 284 -0.09461 -146.55 0.46988 0.43661
PF07791 123 257 -0.09904 -89.04 0.47943 0.45424
PF07793 740 683 -0.07454 -708.46 0.33258 0.06779
PF07795 234 103 -0.05296 -99.24 0.28138 0.07721
PF07796 200 550 -0.08532 -146.33 0.47024 0.43165
PF07799 132 745 -0.13072 -139.48 0.67851 0.90478
PF07801 141 258 -0.09909 -79.67 0.45558 0.38084
PF07810 112 175 -0.08542 -31.09 0.38057 0.1904
PF07812 120 263 -0.08786 -50.7 0.40097 0.22722
PF07816 239 105 -0.06225 -120.2 0.34974 0.12934
PF07818 97 189 -0.05419 -6.88 0.24413 0.0617
PF07839 114 74 -0.05848 -40.41 0.25962 0.0778
PF07841 88 318 -0.11864 -36.18 0.50432 0.51872
PF07843 109 394 -0.15045 -72.52 0.64498 0.8475
PF07852 124 363 -0.07441 -63.1 0.37078 0.17571
PF07864 74 73 -0.15496 -48.04 0.64439 0.8144
PF07865 67 152 -0.15666 -42.77 0.64755 0.8137
PF07867 70 81 -0.16736 -43.68 0.67652 0.84102
PF07869 56 472 -0.2394 -23.94 0.885 0.96433
PF07874 64 85 -0.07745 -2.25 0.30586 0.12333
PF07879 61 144 -0.12084 -20.9 0.50041 0.49514
PF07891 251 69 -0.07415 -150.46 0.4038 0.23214
PF07895 235 30 -0.06881 -129.5 0.37416 0.16565
PF07898 166 332 -0.08983 -76.0 0.41169 0.25075
PF07906 287 32 -0.06756 -209.1 0.42185 0.28362
PF07907 242 689 -0.12207 -310.18 0.76399 0.96283
PF07916 459 285 -0.08042 -315.5 0.3961 0.20392
PF07919 594 621 -0.06716 -641.48 0.38515 0.15978
PF07923 299 236 -0.10726 -287.89 0.64692 0.82499
PF07935 68 18 -0.11096 -6.32 0.43758 0.32379
PF07937 180 19 -0.0796 -142.64 0.4425 0.34491
PF07946 348 288 -0.06505 -207.97 0.3809 0.16999
PF07947 181 1544 -0.15775 -233.47 0.79891 0.98569
PF07954 183 59 -0.07244 -94.9 0.37011 0.16999
PF07956 134 164 -0.06945 -16.95 0.27618 0.09087
PF07957 215 51 -0.07067 -118.58 0.375 0.17076
PF07958 433 552 -0.08959 -474.46 0.54646 0.55149
PF07960 130 109 -0.02983 -1.73 0.22982 0.04242
PF07984 321 50 -0.07464 -226.68 0.43235 0.31336
PF07985 54 400 -0.12301 -20.17 0.51357 0.53138
PF07990 429 100 -0.04931 -202.45 0.32131 0.04919
PF08012 319 116 -0.08749 -330.18 0.56589 0.64659
PF08017 393 18 -0.05127 -59.98 0.24967 0.03457
PF08045 291 87 -0.06856 -192.45 0.41028 0.25032
PF08058 143 135 -0.11078 -57.61 0.46389 0.40642
PF08070 103 43 -0.06195 -27.57 0.26187 0.0812
PF08118 523 123 -0.05016 -396.18 0.32954 0.05917
PF08147 67 126 -0.06908 -7.46 0.27496 0.09497
PF08150 74 100 -0.11493 -26.89 0.47934 0.44225
PF08157 63 12 -0.06623 -3.97 0.26271 0.08486
PF08161 203 288 -0.1505 -207.38 0.75987 0.96495
PF08165 65 70 -0.12931 -17.33 0.52501 0.55559
PF08193 233 47 -0.05117 -94.42 0.27045 0.06941
PF08219 84 36 -0.08707 -10.71 0.37124 0.18345
PF08224 236 70 -0.06588 -155.28 0.3899 0.19788
PF08226 87 40 -0.05099 -9.08 0.24092 0.05943
PF08229 197 112 -0.09162 -139.72 0.48183 0.47182
PF08268 146 3996 -0.08987 -87.98 0.46728 0.40894
PF08285 90 197 -0.12309 -16.25 0.48514 0.45971
PF08310 53 1463 -0.11896 -12.13 0.49299 0.48382
PF08315 163 135 -0.05648 -60.89 0.26534 0.0768
PF08316 141 41 -0.06271 -52.3 0.27537 0.09109
PF08320 221 362 -0.07509 -187.72 0.467 0.41832
PF08339 188 14 -0.05666 -84.37 0.28043 0.08691
PF08340 85 476 -0.19987 -55.16 0.74939 0.90882
PF08345 176 1471 -0.08819 -109.54 0.45296 0.36904
PF08348 115 1001 -0.13934 -98.1 0.65704 0.87642
PF08366 102 98 -0.10753 -65.81 0.49493 0.4969
PF08368 86 214 -0.09522 -29.52 0.41277 0.25844
PF08372 156 224 -0.0708 -57.06 0.32732 0.13261
PF08381 56 80 -0.13345 -3.87 0.52302 0.53543
PF08390 64 292 -0.10405 -3.95 0.42079 0.27823
PF08401 121 961 -0.10656 -59.25 0.47231 0.4308
PF08403 68 105 -0.08581 -2.75 0.35704 0.17128
PF08407 73 162 -0.09435 -25.19 0.41069 0.25595
PF08409 75 393 -0.12658 -32.91 0.54046 0.61429
PF08426 425 75 -0.05035 -264.92 0.33605 0.07067
PF08427 252 130 -0.09128 -199.9 0.52353 0.58807
PF08437 57 180 -0.10109 -3.44 0.41441 0.2649
PF08440 275 71 -0.0551 -160.96 0.35455 0.1263
PF08455 379 2165 -0.09904 -289.7 0.51046 0.53781
PF08456 233 12 -0.05159 -128.19 0.30471 0.09443
PF08463 213 555 -0.09367 -137.41 0.48241 0.47425
PF08467 339 10 -0.05524 -171.85 0.34424 0.0953
PF08469 148 12 -0.06326 -73.25 0.29595 0.11045
PF08472 133 254 -0.14115 -128.59 0.68165 0.90656
PF08474 269 33 -0.05383 -148.2 0.34179 0.11187
PF08475 189 41 -0.06869 -107.84 0.36748 0.16584
PF08481 92 446 -0.15085 -97.3 0.68169 0.89689
PF08493 307 55 -0.06591 -141.32 0.35892 0.12646
PF08495 191 1835 -0.12276 -203.79 0.70466 0.92635
PF08507 147 318 -0.12398 -126.34 0.63874 0.85001
PF08508 116 173 -0.11029 -72.35 0.51073 0.5486
PF08520 72 128 -0.1941 -46.0 0.76383 0.90106
PF08524 150 121 -0.05444 -7.02 0.24217 0.05666
PF08537 378 17 -0.05167 -207.64 0.33824 0.07841
PF08549 707 61 -0.04954 -483.32 0.29278 0.0156
PF08552 188 144 -0.09922 -127.69 0.49934 0.52564
PF08555 112 35 -0.05977 -39.63 0.26147 0.08031
PF08560 146 162 -0.12699 -106.04 0.61998 0.81416
PF08566 166 108 -0.11164 -83.06 0.49349 0.50397
PF08570 154 778 -0.15223 -147.36 0.72385 0.94259
PF08571 80 141 -0.14875 -35.1 0.61263 0.7626
PF08573 111 249 -0.09876 -55.8 0.43872 0.32819
PF08574 92 113 -0.07744 -32.99 0.34778 0.16118
PF08577 76 73 -0.06657 -24.96 0.27843 0.09879
PF08578 150 165 -0.10787 -108.2 0.52759 0.60286
PF08586 96 12 -0.08023 -34.42 0.36335 0.1772
PF08588 56 64 -0.09687 -20.54 0.41861 0.27813
PF08589 107 37 -0.0735 -42.92 0.33115 0.14525
PF08592 195 584 -0.11793 -191.51 0.66932 0.89081
PF08593 62 61 -0.05417 -3.41 0.24433 0.06424
PF08594 212 14 -0.06296 -127.17 0.3603 0.15173
PF08595 142 74 -0.05706 -36.46 0.2539 0.06926
PF08602 470 35 -0.04988 -303.28 0.32903 0.05826
PF08604 509 19 -0.05307 -330.98 0.32531 0.05258
PF08610 365 217 -0.074 -220.67 0.40119 0.22277
PF08611 95 47 -0.13034 -63.87 0.59603 0.74794
PF08618 457 64 -0.05858 -262.34 0.33576 0.06987
PF08619 579 89 -0.04671 -392.71 0.30943 0.0306
PF08620 71 150 -0.11298 -10.39 0.44917 0.35587
PF08628 141 299 -0.0887 -71.93 0.41415 0.25847
PF08632 52 22 -0.12877 -12.75 0.52204 0.53755
PF08634 273 119 -0.07169 -178.57 0.41763 0.27127
PF08636 73 111 -0.20435 -20.64 0.80791 0.91376
PF08637 286 185 -0.09107 -175.86 0.46758 0.42723
PF08663 68 212 -0.2284 -39.06 0.85932 0.9537
PF08685 199 136 -0.08363 -155.71 0.47327 0.44239
PF08688 190 48 -0.06317 -86.23 0.31553 0.11647
PF08691 559 129 -0.04657 -393.48 0.31433 0.03642
PF08692 144 51 -0.06696 -65.55 0.30906 0.12254
PF08707 83 676 -0.16165 -74.84 0.67596 0.88107
PF08730 171 47 -0.06405 -89.48 0.32453 0.13041
PF08733 357 109 -0.07547 -276.46 0.43593 0.31775
PF08735 260 106 -0.07468 -204.56 0.45642 0.38715
PF08740 235 553 -0.06391 -142.71 0.3802 0.17045
PF08741 162 47 -0.09499 -131.47 0.50275 0.53182
PF08742 68 975 -0.15803 -38.4 0.64039 0.8237
PF08743 92 365 -0.10865 -42.38 0.46787 0.41312
PF08744 312 24 -0.05758 -173.5 0.35722 0.12247
PF08747 121 277 -0.12153 -90.06 0.58956 0.74729
PF08750 137 160 -0.11172 -116.97 0.58152 0.7348
PF08795 215 184 -0.07748 -150.24 0.43158 0.31156
PF08800 133 426 -0.12049 -116.4 0.62313 0.82074
PF08809 80 373 -0.15909 -41.52 0.64155 0.81491
PF08811 622 1076 -0.08105 -612.32 0.39005 0.16911
PF08812 218 349 -0.14466 -169.83 0.68843 0.91462
PF08819 175 230 -0.10362 -163.21 0.5954 0.77159
PF08821 104 175 -0.1284 -92.32 0.6272 0.81745
PF08823 74 10839 -0.14208 -36.23 0.64524 0.85588
PF08846 65 104 -0.1527 -41.99 0.63855 0.79981
PF08847 150 127 -0.08349 -87.16 0.40831 0.24631
PF08850 97 104 -0.09348 -62.26 0.4354 0.32025
PF08852 435 245 -0.06813 -288.67 0.37482 0.15441
PF08856 197 450 -0.10798 -210.13 0.66386 0.87836
PF08861 89 436 -0.16069 -73.92 0.66974 0.87118
PF08862 87 160 -0.12494 -60.97 0.57445 0.70103
PF08865 66 95 -0.13488 -39.66 0.58506 0.70822
PF08867 92 996 -0.08561 -41.69 0.40101 0.21924
PF08872 128 129 -0.08361 -51.25 0.38681 0.20071
PF08874 123 646 -0.12565 -98.26 0.61953 0.81206
PF08875 156 353 -0.1132 -154.29 0.63414 0.84377
PF08878 244 357 -0.097 -201.08 0.55904 0.68389
PF08889 217 1169 -0.12686 -208.43 0.70003 0.92055
PF08891 85 87 -0.17706 -59.67 0.69993 0.87314
PF08892 213 331 -0.10385 -192.43 0.60794 0.79511
PF08893 315 53 -0.09182 -300.06 0.56018 0.64626
PF08894 232 174 -0.09571 -220.33 0.5901 0.74833
PF08895 106 262 -0.15147 -76.95 0.65109 0.8554
PF08896 114 88 -0.12441 -88.33 0.60351 0.77236
PF08897 135 286 -0.15343 -96.51 0.6654 0.88524
PF08899 73 430 -0.22723 -69.08 0.82498 0.95011
PF08900 222 147 -0.1101 -203.03 0.63772 0.84445
PF08902 264 1321 -0.11101 -307.6 0.71078 0.91755
PF08905 86 441 -0.12981 -53.61 0.58323 0.72128
PF08906 75 429 -0.13192 -33.77 0.56089 0.66268
PF08908 323 11 -0.05922 -253.47 0.40382 0.23128
PF08909 130 199 -0.10061 -51.01 0.43077 0.30569
PF09133 88 158 -0.10612 -40.32 0.456 0.37783
PF09135 104 77 -0.00819 -0.54 0.22628 0.03745
PF09139 365 270 -0.09407 -327.64 0.52923 0.56044
PF09316 163 55 -0.06397 -67.8 0.29563 0.10591
PF09320 108 375 -0.14439 -38.98 0.59625 0.7482
PF09322 58 15 -0.09941 -22.66 0.42712 0.29902
PF09324 84 192 -0.14022 -52.86 0.61336 0.77821
PF09327 81 341 -0.11947 -19.47 0.48286 0.4533
PF09328 262 58 -0.05759 -153.19 0.35829 0.13543
PF09331 138 402 -0.07349 -62.47 0.36359 0.16345
PF09333 96 158 -0.12185 -44.72 0.5283 0.58876
PF09335 119 9587 -0.15605 -122.81 0.74999 0.96124
PF09338 426 90 -0.08455 -479.81 0.54007 0.5337
PF09345 121 556 -0.15887 -134.4 0.73386 0.94613
PF09348 153 409 -0.13778 -148.94 0.69014 0.91692
PF09350 69 543 -0.06716 -0.34 0.27253 0.08874
PF09353 205 238 -0.11185 -203.58 0.65985 0.87545
PF09354 66 26 -0.06982 -2.09 0.27101 0.09228
PF09355 116 431 -0.12226 -71.03 0.56047 0.68067
PF09356 83 405 -0.10398 -32.34 0.44334 0.33961
PF09357 219 262 -0.13836 -167.83 0.66938 0.89638
PF09362 231 397 -0.0921 -224.63 0.5805 0.72604
PF09365 240 881 -0.11809 -223.78 0.67423 0.88899
PF09369 128 876 -0.0962 -79.65 0.45673 0.38093
PF09372 97 197 -0.12436 -40.29 0.53051 0.59438
PF09418 456 79 -0.05272 -347.56 0.35072 0.09956
PF09428 125 150 -0.0782 -68.98 0.38588 0.20175
PF09429 75 108 -0.18525 -11.49 0.72166 0.85015
PF09432 129 19 -0.06822 -53.83 0.30497 0.12047
PF09435 116 102 -0.06829 -32.37 0.28554 0.10297
PF09436 73 54 -0.10451 -14.95 0.42769 0.29801
PF09437 256 181 -0.07017 -118.66 0.36623 0.14706
PF09438 187 358 -0.13023 -178.28 0.69099 0.91616
PF09447 65 51 -0.13852 -22.72 0.56824 0.65903
PF09474 122 55 -0.07098 -58.91 0.33486 0.14744
PF09482 184 145 -0.08016 -119.44 0.41336 0.25779
PF09484 598 229 -0.06273 -458.09 0.33009 0.06324
PF09487 114 41 -0.08861 -33.49 0.38967 0.20784
PF09490 250 334 -0.10594 -285.29 0.69667 0.90051
PF09493 59 165 -0.12505 -24.01 0.52435 0.55801
PF09495 73 137 -0.06395 -0.32 0.25754 0.07753
PF09499 189 31 -0.08612 -131.67 0.44978 0.36852
PF09502 243 49 -0.06442 -166.8 0.39388 0.20741
PF09504 177 28 -0.07834 -125.73 0.41577 0.26639
PF09506 392 28 -0.0694 -349.31 0.42586 0.28173
PF09509 121 355 -0.16239 -109.12 0.70478 0.91976
PF09516 249 30 -0.06854 -143.04 0.38155 0.17838
PF09519 335 44 -0.06729 -315.91 0.44904 0.35059
PF09521 264 65 -0.07745 -199.37 0.45829 0.39419
PF09523 110 472 -0.15518 -60.06 0.63992 0.83684
PF09524 73 306 -0.15298 -50.48 0.64106 0.8186
PF09527 54 2012 -0.16872 -22.61 0.64877 0.83999
PF09529 219 847 -0.12437 -228.72 0.71471 0.93159
PF09531 615 251 -0.05869 -536.27 0.33407 0.07037
PF09533 187 29 -0.06863 -117.9 0.37566 0.17872
PF09534 186 420 -0.11649 -208.06 0.70163 0.92068
PF09535 236 292 -0.06736 -160.53 0.40274 0.22692
PF09543 120 33 -0.13433 -74.42 0.61094 0.78536
PF09544 294 130 -0.08379 -249.29 0.50452 0.52313
PF09545 366 20 -0.05899 -250.42 0.37406 0.15604
PF09546 322 428 -0.11313 -316.65 0.67341 0.85529
PF09550 59 294 -0.13551 -14.77 0.54959 0.6177
PF09551 128 396 -0.13055 -118.28 0.65481 0.87257
PF09554 337 18 -0.06149 -206.48 0.37278 0.15435
PF09556 298 55 -0.08639 -240.61 0.50237 0.51907
PF09557 112 479 -0.10052 -75.9 0.47517 0.43909
PF09560 91 363 -0.13809 -42.26 0.58987 0.73201
PF09561 352 109 -0.07136 -296.2 0.43756 0.31985
PF09563 362 227 -0.06642 -269.35 0.4063 0.23297
PF09564 238 34 -0.07672 -177.3 0.45015 0.37034
PF09566 281 128 -0.07808 -218.69 0.46538 0.4139
PF09567 227 13 -0.06172 -134.3 0.35971 0.1466
PF09568 163 74 -0.10908 -105.81 0.5196 0.58185
PF09569 195 33 -0.08324 -150.51 0.46567 0.41935
PF09571 308 67 -0.06596 -214.11 0.40934 0.24756
PF09573 224 10 -0.06707 -114.43 0.35993 0.14859
PF09577 230 178 -0.11277 -189.9 0.62242 0.82409
PF09578 78 503 -0.22118 -67.02 0.80536 0.94221
PF09579 87 496 -0.15902 -32.6 0.62786 0.79599
